cond1,cond2,leakiness,inference1,inference2,ManipCheck,stigma1,stigma2,stigma3,dis1,dis2,dis3,dis4,dis5,dis6,dis7,dis8,DisShape,DisWeight,cc1,cc2,gender,age,employment,HeightFeet,HeightInches,height,lbs,total_t,z_beg,z_end
1,1,-2,-1,2,-1,3,1,3,2,7,2,2,2,2,2,2,5,6,3,2,1,19,Yes: part-time,5,8,68,120,2.8666666,8/17/2012 at 2:16 PM,8/17/2012 at 2:19 PM
2,3,-2,2,-2,-3,7,7,7,4,2,5,,2,1,6,4,3,5,3,1,1,34,Yes: full-time,6,0,72,283,3.35,8/17/2012 at 2:19 PM,8/17/2012 at 2:22 PM
2,4,1,1,3,-3,3,2,6,3,4,6,4,7,1,5,3,7,6,3,1,2,22,Yes: full-time,5,6,66,147,2.5166667,8/17/2012 at 2:20 PM,8/17/2012 at 2:23 PM
1,1,2,1,-1,2,5,3,4,1,6,1,3,2,2,3,3,1,1,3,2,1,25,No,5,1,61,240,3.9166667,8/17/2012 at 2:19 PM,8/17/2012 at 2:23 PM
2,3,3,0,3,3,1,1,1,1,7,1,1,7,7,1,7,4,3,3,1,1,25,No,5,1,61,170,2.3333333,8/17/2012 at 2:23 PM,8/17/2012 at 2:25 PM
2,3,-3,0,1,-3,6,3,1,2,6,4,4,6,4,4,4,5,7,3,1,1,19,No,5,8,68,111,3.3333333,8/17/2012 at 2:23 PM,8/17/2012 at 2:26 PM
1,1,3,3,0,2,1,1,1,5,1,5,1,1,1,5,5,1,2,3,2,1,33,Yes: full-time,5,8,68,162,1.5166667,8/17/2012 at 2:25 PM,8/17/2012 at 2:26 PM
1,1,-1,-1,-1,-2,4,3,3,4,3,4,4,3,4,4,3,4,4,2,1,1,22,Yes: part-time,5,8,68,65,2.9,8/17/2012 at 2:25 PM,8/17/2012 at 2:28 PM
2,3,-1,1,-1,-1,5,5,5,5,4,3,5,5,3,5,3,2,2,3,1,1,26,Yes: part-time,5,5,65,150,3.3166666,8/17/2012 at 2:25 PM,8/17/2012 at 2:28 PM
1,1,0,1,2,1,3,2,2,2,6,2,2,6,5,2,6,6,6,3,2,2,23,No,5,4,64,124,2.0833333,8/17/2012 at 2:28 PM,8/17/2012 at 2:30 PM
1,1,2,2,2,-1,5,5,4,4,4,3,5,3,3,3,3,2,2,3,2,2,25,Yes: full-time,5,6,66,190,3.3333333,8/17/2012 at 2:27 PM,8/17/2012 at 2:30 PM
2,2,-1,1,0,-2,7,7,7,7,2,7,7,1,1,6,1,5,6,3,1,2,34,Yes: part-time,5,6,66,185,3.6,8/17/2012 at 2:27 PM,8/17/2012 at 2:31 PM
2,2,2,2,2,-3,5,5,5,2,4,4,2,3,3,5,2,3,3,3,1,1,18,Yes: full-time,6,2,74,190,2,8/17/2012 at 2:29 PM,8/17/2012 at 2:31 PM
2,3,-2,-1,2,-2,2,1,1,2,6,2,1,6,4,4,4,6,7,3,1,1,26,Yes: part-time,5,11,71,155,3.1,8/17/2012 at 2:30 PM,8/17/2012 at 2:33 PM
2,4,2,3,3,1,4,3,4,1,6,3,4,5,5,4,3,3,6,3,1,1,26,Yes: part-time,5,9,69,150,2.6,8/17/2012 at 2:31 PM,8/17/2012 at 2:34 PM
2,2,-3,3,1,-3,7,7,7,7,1,7,7,1,1,7,1,7,7,3,1,1,30,Yes: full-time,6,3,75,210,3.2666667,8/17/2012 at 2:31 PM,8/17/2012 at 2:35 PM
1,1,1,0,1,2,3,3,2,2,5,3,3,3,4,4,3,3,2,3,2,2,54,Yes: full-time,5,5,65,148,5.866667,8/17/2012 at 2:32 PM,8/17/2012 at 2:37 PM
