cond1,cond2,ManipCheck,fair,support,inference1,inference2,leakiness,fps1,fps2,fps3,fps4,fps5,fps6,fps7,fps8,fps9,fps10,fps11,fps12,fps13,fps14,cc1,cc2,age,gender,political,lbs,HeightFeet,HeightInches,Height,total_t,z_beg,z_end
1,1,3,1,1,2,3,0,3,3,3,4,5,5,4,4,3,4,4,5,1,2,3,2,31,2,2,140,5,7,67,13.083333,4/30/2010 at 1:04 PM,4/30/2010 at 1:17 PM
1,1,2,-1,-1,3,2,3,3,2,4,5,5,5,6,4,2,6,2,6,3,2,3,2,57,2,1,107,5,1,61,3.4,4/30/2010 at 1:31 PM,4/30/2010 at 1:34 PM
1,1,3,3,3,0,0,3,2,1,6,6,6,6,6,1,1,6,1,6,1,1,3,2,53,2,4,250,5,6,66,2.6,4/30/2010 at 1:43 PM,4/30/2010 at 1:46 PM
1,1,-3,-3,-3,3,3,0,3,3,2,4,4,4,4,3,4,5,6,5,3,3,3,2,35,2,2,175,5,5,65,13.083333,4/30/2010 at 1:40 PM,4/30/2010 at 1:53 PM
2,4,-2,-2,2,-2,-2,-3,2,2,4,2,3,4,4,2,4,,1,5,1,2,3,1,25,2,6,124,5,4,64,3.8833334,4/30/2010 at 2:46 PM,4/30/2010 at 2:50 PM
1,1,3,2,3,-1,3,1,5,3,4,4,4,3,3,4,4,4,3,4,3,3,3,2,31,1,1,200,6,2,74,4.75,4/30/2010 at 2:46 PM,4/30/2010 at 2:50 PM
2,2,-2,1,1,0,2,-2,3,3,4,4,4,4,5,3,1,5,2,6,1,1,3,1,20,2,3,145,5,8,68,2.7333333,4/30/2010 at 2:48 PM,4/30/2010 at 2:51 PM
2,4,-1,3,0,0,2,-1,3,3,4,4,4,4,4,3,1,6,3,6,3,3,3,1,30,2,7,110,5,4,64,5.25,4/30/2010 at 3:18 PM,4/30/2010 at 3:23 PM
2,4,-3,-3,-3,3,3,-3,5,5,3,2,3,3,3,4,,5,4,3,3,4,3,1,70,2,,222,5,7,67,4.95,4/30/2010 at 3:28 PM,4/30/2010 at 3:33 PM
1,1,-2,-1,-1,1,-2,-1,3,2,3,2,2,2,2,5,3,5,2,2,3,3,3,1,41,1,5,160,5,10,70,2.0166667,4/30/2010 at 6:26 PM,4/30/2010 at 6:28 PM
2,4,-2,1,1,-1,0,-1,2,2,6,6,6,6,6,1,1,6,1,6,1,1,3,1,26,1,4,180,6,0,72,5.55,4/30/2010 at 6:25 PM,4/30/2010 at 6:31 PM
1,1,3,2,2,-1,2,2,3,3,5,5,5,3,4,3,3,3,3,4,2,1,3,,42,2,4,128,5,3,63,2.8833334,4/30/2010 at 6:50 PM,4/30/2010 at 6:53 PM
1,1,2,3,1,0,0,1,3,4,6,5,4,4,4,5,4,5,5,4,3,4,3,2,24,2,3,144,5,5,65,6.3166666,4/30/2010 at 7:05 PM,4/30/2010 at 7:11 PM
1,1,2,3,2,-2,-1,0,3,3,5,4,6,3,6,1,1,6,3,6,2,1,3,2,37,1,5,200,5,2,62,3.95,4/30/2010 at 8:27 PM,4/30/2010 at 8:31 PM
1,1,3,1,2,3,3,3,5,6,1,1,1,1,1,6,4,5,4,4,6,6,3,2,29,1,5,155,5,11,71,3.2166667,4/30/2010 at 9:29 PM,4/30/2010 at 9:32 PM
1,1,1,0,1,-2,1,0,6,6,6,6,6,6,6,6,1,1,1,1,1,1,3,2,28,2,4,130,5,0,60,4.3,4/30/2010 at 9:51 PM,4/30/2010 at 9:55 PM
2,2,0,1,0,-1,2,0,4,2,4,5,4,5,4,2,2,4,1,6,1,1,3,1,41,2,2,185,5,5,65,4.5666666,5/1/2010 at 2:00 AM,5/1/2010 at 2:05 AM
1,1,1,1,1,0,1,1,3,3,4,4,4,4,5,3,3,5,4,5,3,2,3,2,42,2,3,165,5,5,65,3.9,5/1/2010 at 4:49 AM,5/1/2010 at 4:52 AM
2,2,-1,1,2,1,1,1,3,3,4,5,4,5,6,4,3,5,2,4,3,4,3,2,19,1,2,170,6,1,73,4.5,5/1/2010 at 6:55 AM,5/1/2010 at 6:59 AM
1,1,2,0,1,3,3,3,2,2,5,5,5,5,5,2,2,6,2,6,2,2,3,2,45,2,6,120,5,4,64,2.8333333,5/1/2010 at 7:41 AM,5/1/2010 at 7:44 AM
2,4,-3,-2,-2,3,1,-3,6,5,2,2,2,2,2,5,4,5,5,4,4,5,3,1,29,1,3,150,5,6,66,3,5/1/2010 at 9:09 AM,5/1/2010 at 9:12 AM
1,1,3,2,2,-3,3,0,4,3,3,1,5,5,4,4,3,5,5,5,3,3,3,2,40,2,5,164,5,8,68,2.8,5/1/2010 at 9:45 AM,5/1/2010 at 9:47 AM
1,1,-2,1,1,-2,2,-2,3,2,4,5,5,5,5,4,3,5,2,6,3,2,1,2,49,1,7,200,6,0,72,4.9,5/1/2010 at 10:06 AM,5/1/2010 at 10:11 AM
1,1,2,1,2,-1,0,1,2,1,6,3,5,4,5,5,2,6,2,6,3,3,3,2,23,1,2,125,5,7,67,2.2833333,5/1/2010 at 10:11 AM,5/1/2010 at 10:13 AM
1,1,-3,-3,-2,3,2,-3,4,3,5,4,4,5,5,4,4,5,4,5,1,1,3,2,61,2,5,165,5,7,67,4.3333335,5/1/2010 at 11:55 AM,5/1/2010 at 11:59 AM
2,2,-2,-2,-2,2,0,-2,3,3,4,5,4,4,4,3,3,4,5,4,4,4,3,1,24,2,3,135,5,7,67,2.9666667,5/1/2010 at 12:12 PM,5/1/2010 at 12:15 PM
2,4,-3,-3,-3,3,2,-3,4,3,3,4,4,3,5,3,3,4,5,4,2,2,3,1,18,2,3,145,5,8,68,2.9833333,5/1/2010 at 4:32 PM,5/1/2010 at 4:35 PM
2,2,-1,1,0,1,1,-1,4,3,5,5,5,6,5,3,2,6,1,6,3,3,3,1,58,1,6,175,6,3,75,5.4666667,5/1/2010 at 4:39 PM,5/1/2010 at 4:45 PM
1,1,-3,-3,-3,2,0,-3,3,3,3,4,4,3,4,4,3,6,4,5,5,3,3,2,28,2,4,170,5,3,63,4.983333,5/1/2010 at 6:25 PM,5/1/2010 at 6:30 PM
2,4,-2,-1,-2,1,-1,-1,3,4,4,3,4,4,4,4,4,4,4,4,4,4,3,1,25,2,,115,5,4,64,3.6833334,5/1/2010 at 11:30 PM,5/1/2010 at 11:33 PM
2,3,-3,2,1,2,1,-3,3,3,5,4,5,5,6,3,3,5,4,5,3,3,3,1,19,2,5,130,5,4,64,2.8,5/2/2010 at 1:09 AM,5/2/2010 at 1:12 AM
